date,Ticker,MarketCapUSD,BookYield,EarningsYield
2016-02-29,IPL SJ Equity,1541144321,0.798592868305856,13.874093403214
2016-02-29,ITE SJ Equity,784025665,0.243167237011592,6.61494152347247
2016-02-29,ITU SJ Equity,5557768193,1.23292003356127,13.1377075788276
2016-02-29,IVT SJ Equity,262391009,0.938675137807809,16.4347185674056
2016-02-29,JSE SJ Equity,777543873,0.240411648646096,7.25769183325211
2016-02-29,KAP SJ Equity,933728577,0.544269838767557,7.03181846504102
2016-02-29,KIO SJ Equity,1474209665,0.828705412422581,16.3445503977556
2016-02-29,KST SJ Equity,556429121,0.192347733470886,4.37937521680325
2016-02-29,LBH SJ Equity,2225986049,0.617546056413486,12.4358038132833
2016-02-29,LEW SJ Equity,290097985,1.30476932030145,17.833589915188
2016-02-29,LHC SJ Equity,2324861441,0.141408350370484,5.13487020480883
2016-02-29,LON SJ Equity,361541601,25.7424965039511,-2640.39344134126
2016-02-29,MEI SJ Equity,8598024193,0.144302330339626,4.75652416022726
2016-02-29,MMI SJ Equity,2322248705,0.674819325864586,7.90940016617826
2016-02-29,MND SJ Equity,8723566593,0.362768288097254,7.48903103935168
2016-02-29,MNP SJ Equity,8723566593,0.361991941552751,7.50628103506419
2016-02-29,MPT SJ Equity,467472833,0.439877986267946,6.86656800597079
2016-02-29,MRP SJ Equity,2784317441,0.115697400974989,5.92766916997366
2016-02-29,MSM SJ Equity,1466814721,0.243613157208736,4.8372923668446
2016-02-29,MSP SJ Equity,428209729,0.905141544851399,10.8690922466279
2016-02-29,MTA SJ Equity,276792161,0.899277266840502,13.3770002603531
2016-02-29,MTN SJ Equity,15612679169,0.503243089667508,10.9302012875715
2016-02-29,MUR SJ Equity,252234049,1.78696645180112,23.7695644565805
2016-02-29,NED SJ Equity,5694125057,0.792193512539014,12.4362508227306
2016-02-29,NEP SJ Equity,3337852929,0.487106329745509,7.9415304146051
2016-02-29,NHM SJ Equity,1081397121,0.761978017496669,-10.6992136112978
2016-02-29,NIV SJ Equity,173216113,0.481674936111287,3.15234442933481
2016-02-29,NPK SJ Equity,770691137,0.707989802209012,10.2984242814064
2016-02-29,NPN SJ Equity,52267458561,0.12388587773435,1.11316640365973
2016-02-29,NT1 SJ Equity,475091489,1.06308609251434,20.6459153485836
2016-02-29,NTC SJ Equity,2987557633,0.236465996344887,5.39047665817071
2016-02-29,NVS SJ Equity,219611057,NA,12.7697570162212
2016-02-29,OCE SJ Equity,985439105,0.259871137660482,5.06150434426082
2016-02-29,OCT SJ Equity,341410881,1.29421922175183,10.0754863661113
2016-02-29,OML SJ Equity,11608135681,0.856576560099999,8.69923701152452
2016-02-29,OMN SJ Equity,518597345,0.881528494969459,11.243539067249
2016-02-29,PAN SJ Equity,333508577,0.506741561250436,6.77039987820603
2016-02-29,PFG SJ Equity,1909407361,0.231017827668167,5.12202173432644
2016-02-29,PGL SJ Equity,NA,NA,NA
2016-02-29,PGR SJ Equity,393075681,0.455057978775718,9.88623985767365
2016-02-29,PIK SJ Equity,1739987329,0.110075610193292,3.37397760715921
2016-02-29,PIV SJ Equity,NA,NA,NA
2016-02-29,PPC SJ Equity,436356545,0.44089828986112,12.7320183885982
2016-02-29,PSG SJ Equity,2534423041,0.309275001601079,5.35107674243307
2016-02-29,RBP SJ Equity,459334305,1.94095376021321,6.37970694669088
2016-02-29,RBX SJ Equity,191454145,1.17685247858763,13.4196568764746
2016-02-29,RDF SJ Equity,3155801857,0.986316962094087,14.1628563422285
2016-02-29,REB SJ Equity,325989537,1.21499524150053,2.15769331017701
2016-02-29,REI SJ Equity,3912453121,1.47353836440474,16.5980687984067
2016-02-29,REM SJ Equity,7875046401,0.587083231578535,6.45632334399985
2016-02-29,RES SJ Equity,2997606657,0.611087339305102,13.8958937199135
2016-02-29,RFG SJ Equity,293440737,0.218032362862996,3.68939994772275
2016-02-29,RLO SJ Equity,730997825,0.578619972433504,9.35752039544039
2016-02-29,RMH SJ Equity,5110080513,0.43539567741494,8.89097823263776
2016-02-29,RMI SJ Equity,3708631809,0.292573057453805,5.57294321096445
2016-02-29,ROC SJ Equity,2056933889,0.670691631800517,-0.263194168928174
2016-02-29,RPL SJ Equity,1041883905,0.954691841921017,12.0675983329356
2016-02-29,SAB SJ Equity,93995778049,0.23157178250779,3.17722922811513
2016-02-29,SAC SJ Equity,665258561,0.948707052556475,15.1030541223907
2016-02-29,SAP SJ Equity,2212234497,0.469121927242844,9.79982356273753
2016-02-29,SBK SJ Equity,11172178945,0.808944665519963,11.1137684052427
2016-02-29,SGL SJ Equity,3302341633,0.284831002917464,1.29931596448845
2016-02-29,SHP SJ Equity,5586803713,0.251862812390189,5.23084863256054
2016-02-29,SLM SJ Equity,7328509953,0.397951076814171,8.13335910690165
2016-02-29,SNH SJ Equity,20743757825,0.671598295309679,5.80122409116478
2016-02-29,SNT SJ Equity,1448988289,0.296012999108237,7.71431270535259
2016-02-29,SOL SJ Equity,17592188929,0.689044366668779,11.6612263144746
2016-02-29,SPG SJ Equity,947674305,0.494299321488335,7.02478476672624
2016-02-29,SPP SJ Equity,1957333121,0.10753483223231,4.68115712710979
2016-02-29,STP SJ Equity,468767937,1.06584477095542,15.5254880001708
2016-02-29,SUI SJ Equity,479503265,0.272240426253481,-3.11012685604346
2016-02-29,SUR SJ Equity,195482145,0.319794624462463,6.79872196138951
2016-02-29,TBS SJ Equity,3550228737,0.24633225325665,6.11372228237592
2016-02-29,TCP SJ Equity,374254529,0.436087065902007,6.62850280764187
2016-02-29,TDH SJ Equity,346348673,0.627011561891624,4.54155163395573
2016-02-29,TEX SJ Equity,218281265,1.09304870642589,6.76117665203329
2016-02-29,TFG SJ Equity,1589962241,0.377575024042362,8.07177925626566
2016-02-29,TKG SJ Equity,1798498305,0.825403528842341,8.55615783982306
2016-02-29,TON SJ Equity,789703937,1.05416169924057,7.94497774188087
2016-02-29,TRE SJ Equity,447825633,1.40330231876374,14.9799645560979
2016-02-29,TRU SJ Equity,2330839297,0.237406670874393,7.75016722702261
2016-02-29,TSH SJ Equity,1406356097,0.369213397338979,8.16853826685878
2016-02-29,TTO SJ Equity,161109073,0.608429921589908,13.7743668013358
2016-02-29,VKE SJ Equity,645791745,1.12525593589712,19.8095748927056
2016-02-29,VOD SJ Equity,14141198337,0.104302061365387,5.89105604322315
2016-02-29,WBO SJ Equity,491431201,0.651132142657768,10.3062309222493
2016-02-29,WHL SJ Equity,5407614465,0.246169168579681,5.31661230256853
2016-02-29,ZED SJ Equity,515134433,0.920680488384648,2.26394395332259
